Case,Platform,Publisher,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,VideoURL,Animation,Filters,Decorum_Z,Language_Z
54.0,Instagram Reels,Tampa Bay Times,11/30/23,255,32,215.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,0.0,Legacy,California Gov. Gavin Newsom and Florida Gov. Ron DeSantis are facing off...,1,0,0.0,0.0
55.0,Instagram Reels,Tampa Bay Times,12/2/23,118,3,215.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,0.0,Legacy,A car accident at age 21 stole Barbara Walker’s sense of smell…,1,0,0.0,0.0
56.0,Instagram Reels,Tampa Bay Times,12/12/23,560,92,215.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,0.0,Legacy,A Tampa Bay Times investigation found that more than 580 people in Florida have died from kratom,0,0,0.0,0.0
57.0,TikTok,Tampa Bay Times,11/1/23,289,12,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,,,3.0,3.0,1.0,Legacy,A man was rescued after a small plane crashed into the #FloridaEverglades in…,1,0,,
58.0,TikTok,Tampa Bay Times,11/2/23,53,0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,,,4.0,3.0,0.0,Legacy,"A crew of about 15 workers were perched on top of the colorful, football…",1,0,,
59.0,TikTok,Tampa Bay Times,11/3/23,65,2,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,,2.0,5.0,3.0,0.0,Legacy,#TampaInternationalAirport is aiming to make electric #airtaxis a possibility…,1,0,,0.25
60.0,TikTok,Tampa Bay Times,11/3/23,35,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,7.0,3.0,0.0,Legacy,#Florida’s #coral is being returned the sea after being rescued from scorching…,1,0,0.5,0.5
61.0,TikTok,Tampa Bay Times,11/6/23,176,5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,4.0,2.0,2.0,5.0,2.0,0.0,Legacy,A new partnership between @The Florida Aquarium and @Tampa General Hospital…,1,0,0.25,0.25
62.0,TikTok,Tampa Bay Times,11/9/23,327,10,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,7.0,2.0,0.0,Legacy,"Meet Wyatt, a retired #racehorse. He was fierce and skittish and didn’t trust people",1,0,0.25,0.25
63.0,TikTok,Tampa Bay Times,12/5/23,28,4,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,Legacy,A car accident at age 21 stole Barbara Walker’s sense of smell,0,0,0.5,0.25
