,STORYNUMBER,CODER,YEAR,PUBLICATIONDATE,URL,PUBLISHER,STORYTYPE,STORYTOPIC,STORYGENERICFRAMESDOMINANT,STORYEMOTIONALFRAMES,STORYCONTAINSFALSESTATEMENT,STORYCLAIMSANOTHERSOURCEISFALSE,STORYFACTCHECKSTWEET,SENSATIONALISM,src_expert,src_opponent,src_otherpolitician,src_privatecitizen,src_media,src_other,NUMBEROFTWEETSBYCANDIDATES,NUMBEROFTWEETSFROMOTHERS,TWEETBY,TWEETPRESENTATION,TWEETGENERICFRAMESDOMINANT,TWEETEMOTIONALFRAMES,TWEETCONTAINSFALSESTATEMENT,TWEETCLAIMSSOMETHINGELSEISFALSE,TWEETTOPIC,TWEETROLETOTHESTORY,STORYROLETOTWEET,filter_$,SRC_TOTAL,PUBLISHERYEAR
386,1688,1,2016,,https://www.cnn.com/2016/10/31/politics/halloween-2016-politicians-tweet/index.html,cnn,soft news,other,human interest,3,no,no,no,no,no,yes,yes,no,no,no,1,11,biden,embedded,conflict,negative,no,no,policy issue,illustration,neutral,,,cnn2016
387,1689,1,2016,,https://www.cnn.com/2016/10/31/politics/trump-pentagon-mosul-differ/index.html,cnn,soft news,policy issue,conflict,negative,no,no,no,no,yes,yes,no,no,no,yes,1,0,trump,embedded_cited,conflict,negative,no,no,policy issue,illustration,ctiticizes the tweet,,,cnn2016
388,1690,1,2016,,https://www.cnn.com/2016/11/03/opinions/trump-isis-both-use-fear-winter-opinion/index.html,cnn,editorial,policy issue,conflict,negative,no,yes,yes,no,yes,yes,no,no,no,no,1,0,trump,embedded_cited,conflict,negative,yes,no,policy issue,illustration,ctiticizes the tweet,,,cnn2016
389,1691,1,2016,,https://www.cnn.com/2016/11/03/politics/donald-trump-2016-election-campaign-discipline/index.html,cnn,editorial,attack,conflict,negative,no,no,no,no,no,yes,no,no,no,no,1,0,biden,cited_paraphrased,conflict,negative,no,no,attack,illustration,neutral,,,cnn2016
390,1692,1,2016,,https://www.cnn.com/2016/11/04/politics/bill-clinton-melania-trump-2016-election-donald-trump-cyberbulling/index.html,cnn,soft news,attack,conflict,negative,no,no,no,yes,no,yes,no,no,no,no,1,0,trump,cited,conflict,negative,yes,no,attack,illustration,ctiticizes the tweet,,,cnn2016
391,1694,1,2016,,https://www.cnn.com/2016/11/08/politics/tapper-tweet-trump-cnn-tv/index.html,cnn,soft news,attack,conflict,negative,no,yes,yes,no,no,no,no,no,yes,no,1,1,trump,embedded_cited,conflict,negative,yes,no,campaign event or info,trigger,ctiticizes the tweet,,,cnn2016
392,1701,1,2016,,https://www.cnn.com/videos/us/2016/09/08/donald-trump-nbc-town-hall-military-sexual-assault-sot.cnn,cnn,soft news,attack,conflict,negative,no,no,no,no,no,no,no,no,no,no,1,0,trump,paraphrased,conflict,negative,no,no,policy issue,trigger,ctiticizes the tweet,,,cnn2016
393,1703,1,2016,,https://www.foxnews.com/opinion/heather-macdonald-the-left-freaks-out-over-trumps-tape-but-loves-culturally-lewd-behavior,fox,editorial,scandal,morality,negative,yes,no,no,yes,no,yes,no,no,yes,yes,1,0,biden,cited,conflict,negative,no,no,scandal,non-primary source,ctiticizes the tweet,,,fox2016
394,1706,1,2016,,https://www.foxnews.com/politics/clinton-says-she-regrets-calling-trump-supporters-deplorables,fox,editorial,attack,conflict,negative,no,no,no,yes,no,yes,yes,no,no,yes,1,0,trump,cited,conflict,negative,no,no,attack,illustration,neutral,,,fox2016
395,1707,1,2016,,https://www.foxnews.com/politics/democrats-raise-funds-for-gop-after-north-carolina-headquarters-firebombed,fox,soft news,other,conflict,negative,no,no,no,no,no,yes,yes,no,yes,yes,1,2,trump,cited,human interest,positive,no,no,other,non-primary source,neutral,,,fox2016
